First Name,Last Name,SID,Email,Role,Section
John,Smith,A73829104,smith@ucsd.edu,Student,cse-95---a00-739094
Emily,Johnson,A09876543,emily@ucsd.edu,Student,cse-95---a00-739094
Michael,Williams,A12345678,williams@ucsd.edu,Student,cse-95---a00-739094
Jessica,Brown,A98765432,brown@ucsd.edu,Student,cse-95---a00-739094
David,Jones,A56789012,jones@ucsd.edu,Student,cse-95---a00-739094
Ashley,Davis,A34567890,davis@ucsd.edu,Student,cse-95---a00-739094
Christopher,Miller,A89012345,miller@ucsd.edu,Student,cse-95---a00-739094
Sarah,Wilson,A23456789,wilson@ucsd.edu,Student,cse-95---a00-739094
Matthew,Garcia,A67890123,garcia@ucsd.edu,Student,cse-95---a00-739094
Elizabeth,Rodriguez,A45678901,rodriguez@ucsd.edu,Student,cse-95---a00-739094
